Date,Best_Buy_Time,Best_Buy_Return,anonymous signal #,Best_Buy_Last,Worst_Buy_Time,Worst_Buy_Return,Worst_Buy_Sorted_String2,Worst_Buy_Last,Stock
2024-08-19,2024-08-19 14:41:00,-2.2,86,153.9,2024-08-19 15:59:00,-3.41,62,155.28,AMD
2024-08-20,2024-08-20 09:31:00,-2.87,86,155.96,2024-08-20 10:08:00,-7.38,83,161.87,AMD
2024-08-21,2024-08-21 09:30:00,-3.81,69,156.1,2024-08-21 14:30:00,-8.03,93,158.59,AMD
2024-08-22,2024-08-22 13:59:00,-2.38,82,151.86,2024-08-22 09:30:00,-7.76,94,159.06,AMD
2024-08-23,2024-08-23 09:30:00,-3.21,77,153.66,2024-08-23 10:28:00,-6.1,91,156.35,AMD
2024-08-26,2024-08-26 10:38:00,-4.81,90,149.18,2024-08-26 09:42:00,-9.84,84,157.94,AMD
2024-08-27,2024-08-27 13:06:00,-4.66,102,149.47,2024-08-27 09:31:00,-8.21,72,151.48,AMD
2024-08-28,2024-08-28 11:17:00,-3.33,71,144.83,2024-08-28 09:31:00,-8.01,58,150.03,AMD
2024-08-29,2024-08-29 09:30:00,-5.32,89,146.71,2024-08-29 12:04:00,-10.93,83,148.35,AMD
2024-08-30,2024-08-30 12:33:00,-5.38,74,145.44,2024-08-30 09:30:00,-8.85,91,148.72,AMD
2024-09-03,2024-09-03 15:49:00,4.72,72,136.36,2024-09-03 09:30:00,-4.74,88,145.84,AMD
2024-09-04,2024-09-04 15:55:00,6.5,72,140.88,2024-09-04 11:02:00,-1.39,73,143.18,AMD
2024-09-05,2024-09-05 15:15:00,8.84,82,138.68,2024-09-05 10:08:00,5.3,47,141.63,AMD
2024-09-06,2024-09-06 12:04:00,14.88,53,132.14,2024-09-06 09:31:00,9.34,85,138.8,AMD
2024-09-09,2024-09-09 11:18:00,12.93,68,135.54,2024-09-09 12:33:00,10.05,70,137.61,AMD
2024-09-10,2024-09-10 12:02:00,11.29,86,137.5,2024-09-10 15:33:00,4.82,81,142.84,AMD
2024-09-11,2024-09-11 10:46:00,6.64,49,140.78,2024-09-11 15:58:00,-1.2,53,150.05,AMD
2024-09-12,2024-09-12 12:43:00,6.34,91,148.95,2024-09-12 09:37:00,2.34,94,149.45,AMD
2024-09-13,2024-09-13 09:31:00,3.56,70,151.77,2024-09-13 11:16:00,0.47,76,151.82,AMD
2024-09-16,2024-09-16 10:34:00,3.65,68,151.15,2024-09-16 10:13:00,1.02,72,154.36,AMD
2024-09-17,2024-09-17 13:45:00,6.42,80,149.31,2024-09-17 10:39:00,0.87,64,153.48,AMD
2024-09-18,2024-09-18 15:06:00,9.57,91,148.71,2024-09-18 09:31:00,5.15,72,150.48,AMD
2024-09-19,2024-09-19 09:34:00,10.08,74,153.02,2024-09-19 13:01:00,3.6,96,158.67,AMD
2024-09-20,2024-09-20 10:02:00,8.5,87,154.8,2024-09-20 15:59:00,5.35,89,155.95,AMD
2024-09-23,2024-09-23 09:43:00,5.86,84,155.65,2024-09-23 10:25:00,3.4,79,156.9,AMD
2024-09-24,2024-09-24 09:31:00,4.84,88,157.27,2024-09-24 13:30:00,-0.29,97,158.67,AMD
2024-09-25,2024-09-25 10:49:00,1.96,72,159.95,2024-09-25 15:18:00,-1.71,83,162.91,AMD
2024-09-26,2024-09-26 10:55:00,-0.05,81,164.47,2024-09-26 09:31:00,-4.19,85,167.38,AMD
2024-09-27,2024-09-27 15:44:00,4.27,66,164.16,2024-09-27 10:10:00,-1.7,95,167.45,AMD
2024-09-30,2024-09-30 14:26:00,5.81,74,162.54,2024-09-30 09:44:00,2.74,88,164.84,AMD
2024-10-01,2024-10-01 15:47:00,8.81,85,159.11,2024-10-01 09:33:00,4.24,77,164.01,AMD
2024-10-02,2024-10-02 09:30:00,9.01,95,159.26,2024-10-02 10:49:00,4.34,78,163.08,AMD
2024-10-03,2024-10-03 09:30:00,5.99,74,160.48,2024-10-03 15:34:00,-0.09,62,162.25,AMD
2024-10-04,2024-10-04 11:49:00,-0.04,91,166.79,2024-10-04 09:35:00,-2.66,101,167.76,AMD
2024-10-07,2024-10-07 10:02:00,-0.34,96,169.19,2024-10-07 14:26:00,-3.4,92,171.98,AMD
2024-10-08,2024-10-08 09:30:00,-5.22,85,172.67,2024-10-08 15:39:00,-10.08,78,173.32,AMD
2024-10-09,2024-10-09 12:19:00,-7.57,98,169.62,2024-10-09 10:40:00,-9.11,76,170.88,AMD
2024-10-10,2024-10-10 15:34:00,-3.02,51,162.11,2024-10-10 12:00:00,-8.05,64,171.92,AMD
2024-10-11,2024-10-11 09:35:00,-4.18,68,163.3,2024-10-11 14:11:00,-7.69,84,169.22,AMD
2024-10-14,2024-10-14 15:58:00,-4.44,75,165.23,2024-10-14 09:37:00,-7.7,86,168.52,AMD
2024-10-15,2024-10-15 15:52:00,-1.06,69,156.06,2024-10-15 09:32:00,-5.17,61,162.27,AMD
2024-10-16,2024-10-16 10:43:00,-1.33,76,155.08,2024-10-16 14:19:00,-3.79,87,156.54,AMD
2024-10-17,2024-10-17 15:38:00,-1.72,72,156.7,2024-10-17 09:30:00,-3.61,55,160.22,AMD
2024-10-18,2024-10-18 10:11:00,1.54,91,156.27,2024-10-18 09:30:00,-0.94,80,156.92,AMD
2024-10-21,2024-10-21 10:45:00,3.49,75,154.23,2024-10-21 15:19:00,0.76,94,157.58,AMD
2024-10-22,2024-10-22 15:47:00,8.52,68,154.25,2024-10-22 09:30:00,3.02,68,156.12,AMD
2024-10-23,2024-10-23 10:06:00,0.27,65,151.48,2024-10-23 15:55:00,-3.08,81,152.88,AMD
2024-08-19,2024-08-19 15:02:00,-2.98,80,165.63,2024-08-19 15:56:00,-4.93,90,167.59,AVGO
2024-08-20,2024-08-20 13:30:00,-2.11,68,165.09,2024-08-20 09:45:00,-6.6,79,167.18,AVGO
2024-08-21,2024-08-21 09:58:00,-1.74,66,163.08,2024-08-21 14:32:00,-5.73,80,166.25,AVGO
2024-08-22,2024-08-22 11:49:00,-2.23,88,164.72,2024-08-22 09:30:00,-7.74,80,172.23,AVGO
2024-08-23,2024-08-23 09:53:00,-0.95,83,164.71,2024-08-23 10:28:00,-4.04,100,168.24,AVGO
2024-08-26,2024-08-26 10:10:00,-2.16,74,162.31,2024-08-26 11:00:00,-4.94,72,161.62,AVGO
2024-08-27,2024-08-27 12:42:00,-2.17,104,159.55,2024-08-27 10:00:00,-5.8,86,159.15,AVGO
2024-08-28,2024-08-28 14:50:00,-1.3,86,156.99,2024-08-28 09:34:00,-6.35,76,162.06,AVGO
2024-08-29,2024-08-29 09:30:00,-10.57,98,158.9,2024-08-29 09:59:00,-15.56,50,162.5,AVGO
2024-08-30,2024-08-30 15:49:00,-11.82,53,160.29,2024-08-30 10:41:00,-16.25,59,162.26,AVGO
2024-09-03,2024-09-03 15:46:00,-1.76,63,151.42,2024-09-03 09:30:00,-11.55,84,159.61,AVGO
2024-09-04,2024-09-04 15:59:00,2.82,63,154.12,2024-09-04 10:57:00,-6.29,86,155.12,AVGO
2024-09-05,2024-09-05 15:43:00,8.29,72,153.35,2024-09-05 10:08:00,3.32,70,155.53,AVGO
2024-09-06,2024-09-06 15:58:00,22.47,60,137.01,2024-09-06 09:30:00,16.86,56,142.1,AVGO
2024-09-09,2024-09-09 11:12:00,19.89,60,135.05,2024-09-09 15:37:00,15.97,76,140.9,AVGO
2024-09-10,2024-09-10 09:30:00,17.52,53,141.17,2024-09-10 14:20:00,7.97,89,149.25,AVGO
2024-09-11,2024-09-11 10:52:00,12.72,68,145.14,2024-09-11 15:58:00,1.95,98,158.64,AVGO
2024-09-12,2024-09-12 09:31:00,6.84,87,156.83,2024-09-12 11:13:00,0.96,84,166.07,AVGO
2024-09-13,2024-09-13 15:38:00,2.96,91,166.56,2024-09-13 11:13:00,0.33,74,166.26,AVGO
2024-09-16,2024-09-16 10:34:00,6.03,75,160.8,2024-09-16 10:05:00,2.4,90,164.92,AVGO
2024-09-17,2024-09-17 14:53:00,8.54,57,161.07,2024-09-17 09:30:00,4.47,79,165.91,AVGO
2024-09-18,2024-09-18 15:59:00,8.57,81,161.67,2024-09-18 14:34:00,4.77,83,167.44,AVGO
2024-09-19,2024-09-19 09:50:00,7.81,86,165.85,2024-09-19 12:40:00,3.14,116,169.93,AVGO
2024-09-20,2024-09-20 09:30:00,6.0,99,166.77,2024-09-20 15:25:00,0.63,69,171.47,AVGO
2024-09-23,2024-09-23 11:27:00,1.93,106,169.57,2024-09-23 15:34:00,-1.04,77,172.64,AVGO
2024-09-24,2024-09-24 09:30:00,-0.7,78,173.32,2024-09-24 12:45:00,-4.88,88,174.69,AVGO
2024-09-25,2024-09-25 12:13:00,-0.78,79,173.99,2024-09-25 09:44:00,-4.51,100,175.58,AVGO
2024-09-26,2024-09-26 10:55:00,-1.42,94,175.59,2024-09-26 09:30:00,-5.11,93,179.28,AVGO
2024-09-27,2024-09-27 15:47:00,2.32,73,172.6,2024-09-27 10:09:00,-0.81,82,174.43,AVGO
2024-09-30,2024-09-30 10:17:00,4.32,82,169.78,2024-09-30 15:47:00,1.35,69,171.74,AVGO
2024-10-01,2024-10-01 15:47:00,8.6,90,167.01,2024-10-01 09:30:00,1.89,64,172.11,AVGO
2024-10-02,2024-10-02 15:56:00,8.96,63,170.82,2024-10-02 10:02:00,4.39,64,170.89,AVGO
2024-10-03,2024-10-03 13:03:00,9.16,84,169.89,2024-10-03 10:08:00,4.92,92,174.71,AVGO
2024-10-04,2024-10-04 12:11:00,4.26,93,174.99,2024-10-04 09:42:00,0.97,92,175.83,AVGO
2024-10-07,2024-10-07 09:53:00,4.99,85,175.57,2024-10-07 11:30:00,1.15,102,178.16,AVGO
